Title,Author
Dhalgren,Samuel R. Delany
Dice Games Properly Explained,Reiner Knizia
Dictionary of Mythology,Fernand Comte
Dirk Gently's Holistic Detective Agency (Dirk Gently #1),Douglas Adams
Disrupted: My Misadventure in the Start-Up Bubble,Dan Lyons
Dragonlance Chronicles (Dragonlance #1-3),Margaret Weis
"Dune (Dune Chronicles, #1)",Frank Herbert
"East of West, Vol. 1: The Promise",Jonathan Hickman
Eisenhorn (Eisenhorn #1-3),Dan Abnett
"Essential Dr Strange, Vol 1",Stan Lee
Essential Japanese Grammar,E.F. Bleiler
Exploding the Phone: The Untold Story of the Teenagers and Outlaws Who Hacked Ma Bell,Phil  Lapsley
Fahrenheit 451,Ray Bradbury
Fear and Loathing in Las Vegas and Other American Stories (Modern Library),Hunter S. Thompson
Flow: The Psychology of Optimal Experience,Mihaly Csikszentmihalyi
Flowers for Algernon,Ronald Cohn
"Gödel, Escher, Bach: An Eternal Golden Braid",Hou Shi Da
Game Design Workshop,Tracy Jeanne Fullerton
Game Design: Secret of the Sages,Marc Saltzman
Game Feel: A Game Designer's Guide to Virtual Sensation,Steve Swink
Game Mechanics: Advanced Game Design,Ernest Adams
Game Programming Patterns,Robert Nystrom
Game Writing: Narrative Skills for Videogames,Chris Bateman
Gametek: The Math and Science of Gaming,Geoff Engelstein
Going Solo in the Kitchen,Jane Doerfer
Good Eats: The Early Years,Alton Brown
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Terry Pratchett
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond
H.P. Lovecraft:  The Complete Fiction,H.P. Lovecraft
Hard to Be a God,Arkady Strugatsky
Hard-Boiled Wonderland and the End of the World,Haruki Murakami
"Head Lopper, Vol. 1: The Island or A Plague of Beasts",Andrew MacLean
Hellboy Omnibus Volume 1: Seed of Destruction,Mike Mignola
How Microprocessors Work,Steven Kaminsky
How Networks Work,Frank J. Derfler Jr.
How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg
How Software Works (How It Works),Ron White
How the Internet Works (How It Works),Preston Gralla
HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,Dale Carnegie
"Hyperion (Hyperion Cantos, #1)",Dan Simmons
I'm Just Here for the Food: Food + Heat = Cooking,Alton Brown
Indie Games: From Dream to Delivery,Don L. Daglow
Introduction to Algorithms (The MIT Press),Thomas H. Cormen
"Jade City (The Green Bone Saga, #1)",Fonda Lee
Japanese Tales,Royall  Tyler
JavaScript and jQuery: Interactive Front-End Web Development,Jon Duckett
Jonathan Strange & Mr Norrell,Susanna Clarke
"Jurassic Park (Jurassic Park, #1)",Michael Crichton
Kafka on the Shore,Haruki Murakami
"Kill 6 Billion Demons, Book 1",Tom Parkinson-Morgan
"Kill Six Billion Demons, Vol. 2",Tom Parkinson-Morgan
"Kill Six Billion Demons, Vol. 3",Tom Parkinson-Morgan
King of Heists: The Sensational Bank Robbery of 1878 That Shocked America,J. North Conway
Kingdom Come,Larry Burkett
Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain
Kotlin Programming: The Big Nerd Ranch Guide,Josh Skeen
Last Call: The Rise and Fall of Prohibition,Daniel Okrent
Learning Japanese Hiragana and Katakana: A Workbook for Self-Study,Kenneth G. Henshall
Legend of the Hero,Kari Fry
Level Up!: The Guide to Great Video Game Design,Scott Rogers
"Leviathan Wakes (The Expanse, #1)",James S.A. Corey
"Light (Empty Space Trilogy, #1)",M. John Harrison
Lord of Light,Pat Langdon
"Low, Vol. 1: The Delirium of Hope",Rick Remender
Mahabharata,C. Rajagopalachari
"Marching Powder: A True Story of Friendship, Cocaine, and South America's Strangest Jail",Rusty Young
"Master and Commander (Aubrey & Maturin, #1)",Patrick O'Brian
Masters of Doom: How Two Guys Created an Empire and Transformed Pop Culture,David Kushner
Mathematics for 3D Game Programming and Computer Graphics,Eric Lengyel
Medium Raw: A Bloody Valentine to the World of Food and the People Who Cook,Anthony Bourdain
Metro 2033 (Metro #1),Dmitry Glukhovsky
"Mona Lisa Overdrive (Sprawl, #3)",William Gibson
"Monster Hunter International (Monster Hunter International, #1)",Larry Correia
"My Drunk Kitchen: A Guide to Eating, Drinking, and Going with Your Gut",Hannah Hart
"Neuromancer (Sprawl, #1)",William Gibson
"Neuromancer (Sprawl, #1)",William Gibson
"Neverwhere (London Below, #1)",Neil Gaiman
"Ninefox Gambit (The Machineries of Empire, #1)",Yoon Ha Lee
"Obsidian and Blood (Obsidian and Blood, #1-3)",Aliette de Bodard
"Old Man's War (Old Man's War, #1)",John Scalzi
On Food and Cooking: The Science and Lore of the Kitchen,Harold McGee
Operating Systems: Internals and Design Principles (9th Edition),William Stallings
"Perdido Street Station (New Crobuzon, #1)",China Miéville
Persuasive Games: The Expressive Power of Videogames,Ian Bogost
Playing At The World,Jon Peterson
Please Kill Me: The Uncensored Oral History of Punk,Legs McNeil
"Promise of Blood (Powder Mage, #1)",Brian  McClellan
"Quicksilver (The Baroque Cycle, #1)",Neal Stephenson
Ratio: The Simple Codes Behind the Craft of Everyday Cooking,Michael Ruhlman
"Raven Stratagem (The Machineries of Empire, #2)",Yoon Ha Lee
Ravenor: The Omnibus,Dan Abnett
"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke
Rosencrantz and Guildenstern Are Dead,Jesse Russell
"Saga, Vol. 1",Brian K. Vaughan
Salt: A World History,Mark Kurlansky
Secrets of the Samurai: The Martial Arts of Feudal Japan,Oscar Ratti
"Sex Criminals, Vol. 1: One Weird Trick",Matt Fraction
"Sex Criminals, Vol. 2: Two Worlds, One Cop",Matt Fraction
"Shōgun (Asian Saga, #1)",James Clavell
Slow Cooker One-Pot Cooking and Casseroles,Catherine Atkinson
Speed Tribes: Days and Nights with Japan's Next Generation,Karl Taro Greenfeld
"Spook Country (Blue Ant, #2)",William Gibson
Sputnik Sweetheart,Haruki Murakami
"Starfish (Rifters, #1)",Peter Watts
Streetfight: Handbook for an Urban Revolution,Janette Sadik-Khan
"Sundiver (The Uplift Saga, #1)",David Brin
Superman: Red Son,Mark Millar
"The Amulet of Samarkand (Bartimaeus, #1)",Jonathan Stroud
The Arabian Nights,Wafa' Tarnowska
The Art of Failure: An Essay on the Pain of Playing Video Games,Jesper  Juul
The Art of Game Design: A Book of Lenses,Jesse Schell
The Basque History of the World: The Story of a Nation,Mark Kurlansky
"The Big Book of Barry Ween, Boy Genius",Judd Winick
"The Black Monday Murders, Vol. 1: All Hail, God Mammon",Jonathan Hickman
"The Book of Games: Strategy, Tactics  History",Jack Botermans
The Book of PoC || GTFO,Manul Laphroaig
The Book of the New Sun (The Book of the New Sun #1-4),Gene Wolfe
The Books of Earthsea: The Complete Illustrated Edition,Ursula K. Le Guin
"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett
"The Coming of Conan the Cimmerian (Conan the Cimmerian, #1)",Robert E. Howard
The Complete America's Test Kitchen TV Show Cookbook 2001-2010,America's Test Kitchen
The Complete Sherlock Holmes (Sherlock Holmes),Arthur Conan Doyle
"The Crimson Campaign (Powder Mage, #2)",Brian  McClellan
"The Dark Forest (Remembrance of Earth’s Past, #2)",Liu Cixin
The Design of Everyday Things,Donald A. Norman
The Difference Engine ,William Gibson
"The Disaster Artist: My Life Inside The Room, the Greatest Bad Movie Ever Made",Greg Sestero
The Divine Comedy,Henry Wadsworth Longfellow
The Elephant Vanishes,Haruki Murakami
"The Elric Saga Part I (Elric Saga, #1-3)",Michael Moorcock
"The Elric Saga Part II (Elric Saga, #4-6)",Michael Moorcock
The Encyclopedia of Demons and Demonology,Rosemary Ellen Guiley
The Everything Mexican Cookbook: 300 Flavorful Recipes from South of the Border,Margaret Kaeter
"The Final Empire (Mistborn, #1)",Brandon Sanderson
"The Foundation Trilogy (Foundation, #1-3)",Isaac Asimov
The Game Design Reader: A Rules of Play Anthology,Zimmerman Eric Salen Katie
"The Goblin Emperor (The Goblin Emperor, #1)",Katherine Addison
The Hobbit or There and Back Again,J.R.R. Tolkien
The Joy of Cooking,Irma S. Rombauer
"The Last Wish (The Witcher, #1)",Andrzej Sapkowski
The Left Hand of Darkness (Hainish Cycle #4),Ursula K. Le Guin
"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō
"The Light (Morpheus Road, #1)",D.J. MacHale
"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien
The Luminaries,Eleanor Catton
The Man in the High Castle,Philip K. Dick
The Master of Go,Yasunari Kawabata
The Metropolitan Museum of Art Guide,Max Hollein
The Moon is a Harsh Mistress,Robert A. Heinlein
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss
The Nekropolis Archives,Tim Waggoner
The new Indian cooking course,Manisha Kanani
The New Penguin History of The World,J.M. Roberts
The New Spanish Table,Anya von Bremzen
The Nibelungenlied,Unknown
The Odyssey,Homer
The Outcast Hours,Mahvesh Murad
"The Paper Magician (The Paper Magician, #1)",Charlie N. Holmberg
The Paper Menagerie and Other Stories,Ken Liu
"The Passage (The Passage, #1)",Justin Cronin
The Peripheral,William Gibson
"The Player of Games (Culture, #2)",Iain M. Banks
The Punch Escrow,Tal M. Klein
"The Quantum Thief (Jean le Flambeur, #1)",Hannu Rajaniemi
The Savage Tales of Solomon Kane,Robert E. Howard
The Shards of Heaven (The Shards of Heaven #1),Michael Livingston
"The Six-Gun Tarot (Golgotha, #1)",R.S. Belcher
"The Soldiers of Halla (Pendragon, #10)",D.J. MacHale
The Sorrow Of War: A Novel of North Vietnam,Bảo Ninh
The Sushi Experience,Hiroko Shimbo
"The Time of Contempt (The Witcher, #4)",Andrzej Sapkowski
"The Tombs of Atuan (Earthsea Cycle, #2)",Ursula K. Le Guin
The Unreasoning Mask,Philip José Farmer
The UX Book: Process and Guidelines for Ensuring a Quality User Experience,Rex Hartson
"The Vorrh (The Vorrh Trilogy, #1)",Brian Catling
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson
The Windup Girl,Paolo Bacigalupi
The Yiddish Policemen's Union,Michael Chabon
The Zombie Survival Guide: Complete Protection from the Living Dead,Max Brooks
Tokyo Cult Recipes,Maori Murota
"Tokyo Ghost, Vol. 1: Atomic Garden",Rick Remender
"Too Like the Lightning (Terra Ignota, #1)",Ada Palmer
"Transmetropolitan, Vol. 1: Back on the Street",Warren Ellis
Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly
"Understanding China: A Guide to China's Economy, History, and Political Culture",John Bryan Starr
"Universal Principles of Design: 100 Ways to Enhance Usability, Influence Perception, Increase Appeal, Make Better Design Decisions, and Teach Through Design",William Lidwell
Watchmen (Watchmen #1-12),Alan Moore
"Watership Down (Watership Down, #1)",Richard  Adams
Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil
"Who Fears Death (Who Fears Death, #1)",Nnedi Okorafor
World War Z: An Oral History of the Zombie War,Max Brooks
Yakuza: Japan's Criminal Underworld,David E. Kaplan
